ident,commune,type,comptage_5m,indice_congestion_matin,indice_congestion_soir,compteur_latitude,compteur_longitude,stop_id,stop_name,distance_arret_m,lignes_tbm
Z8CT3,Bordeaux,BOUCLE,15,0.077250,0.071410,44.8462381,-0.5502641,3706,Thiers-Benauge,69.7,A;E
Z8CT3,Bordeaux,BOUCLE,15,0.077250,0.071410,44.8462381,-0.5502641,3707,Thiers-Benauge,63.3,A;E
Z8CT18,Bordeaux,BOUCLE,6,0.074404,0.076184,44.8532276,-0.5395948,3702,Jean Jaurès,150.4,A;E
Z8CT18,Bordeaux,BOUCLE,6,0.074404,0.076184,44.8532276,-0.5395948,3703,Jean Jaurès,159.4,A;E
Z8CT18,Bordeaux,BOUCLE,6,0.074404,0.076184,44.8532276,-0.5395948,8541,Jean Jaurès,149.9,31;H2
Z8CT18,Bordeaux,BOUCLE,6,0.074404,0.076184,44.8532276,-0.5395948,8542,Jean Jaurès,165.6,31;H1
Z8CT17,Cenon,BOUCLE,21,0.069662,0.055260,44.8587369,-0.5301693,3698,Carnot - Mairie de Cenon,156.0,A;E
Z8CT17,Cenon,BOUCLE,21,0.069662,0.055260,44.8587369,-0.5301693,3699,Carnot - Mairie de Cenon,150.2,A;E
Z8CT17,Cenon,BOUCLE,21,0.069662,0.055260,44.8587369,-0.5301693,3626,Jean Jaurès,218.6,60
Z8CT17,Cenon,BOUCLE,21,0.069662,0.055260,44.8587369,-0.5301693,3627,Jean Jaurès,216.5,60
Z25CT24,Bordeaux,BOUCLE,3,0.068138,0.124760,44.8773476,-0.5442623,5534,Claveau,67.8,B
Z25CT24,Bordeaux,BOUCLE,3,0.068138,0.124760,44.8773476,-0.5442623,5535,Claveau,63.9,B
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,3125,Claudeville,201.3,33;35
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,3277,Claudeville,150.8,33;35
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,7343,Cracovie,192.4,C;E
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,7344,Cracovie,202.4,C;E
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,9259,Cracovie,46.9,53
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,7265,Cracovie (Tram C et E),260.7,33;35;53;7
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,3006,Les Aubiers,218.3,7;N1
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,378,Les Aubiers,149.6,7
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,5414,Les Aubiers,216.5,C
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,5415,Les Aubiers,210.5,C;E
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,6683,Les Aubiers,64.5,33;35
Z25CT12,Bordeaux,BOUCLE,37,0.074533,0.089313,44.8727517,-0.576322,6684,Les Aubiers,37.0,33;35
Z25CT4,Bordeaux,BOUCLE,,,,44.886478,-0.5604764,5743,Rond Point Marie Fel,235.5,32;75
Z25CT4,Bordeaux,BOUCLE,,,,44.886478,-0.5604764,5744,Rond Point Marie Fel,255.1,32;75
Z25CT1,Bordeaux,BOUCLE,21,0.097928,0.066990,44.8909442,-0.5635556,3003,Palais des Congrès,295.7,32
Z25CT1,Bordeaux,BOUCLE,21,0.097928,0.066990,44.8909442,-0.5635556,4700,Richaud,195.4,32
Z25CT1,Bordeaux,BOUCLE,21,0.097928,0.066990,44.8909442,-0.5635556,4800,Richaud,193.0,32
Z25CT1,Bordeaux,BOUCLE,21,0.097928,0.066990,44.8909442,-0.5635556,3652,Vergne-Bricaud,192.4,75
Z25CT1,Bordeaux,BOUCLE,21,0.097928,0.066990,44.8909442,-0.5635556,3653,Vergne-Bricaud,185.9,75
Z16CT2,Pessac,BOUCLE,29,0.080330,0.086081,44.8101544,-0.6213496,2761,Avenue Jean Jaurès,152.2,4
