stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,parent_station
TACHAR,TACHAR,Rue Achard,44.86662600,-0.54869100,0,
BAVIAU,BAVIAU,Rue d'Aviau,44.85011700,-0.57682500,0,
BRBORDE,BRBORDE,Rue de Bordeaux,44.94284600,-0.60731200,0,
BRDBEGL,BRDBEGL,Rue de Bègles,44.81763200,-0.56422700,0,
BAMITIE,BAMITIE,Rue de l'Amitié,44.86321000,-0.51030000,0,
BAVENIR,BAVENIR,Rue de l'Avenir,44.88360900,-0.58503900,0,
BRUNION,BRUNION,Rue de l'Union,44.85028400,-0.51963300,0,
BRUGARE,BRUGARE,Rue de la Gare,44.94625700,-0.60996200,0,
BRPAIX,BRPAIX,Rue de la Paix,44.76393800,-0.56501000,0,
BRPAIX2,BRPAIX2,Rue de la Paix,44.85084200,-0.52263300,0,
BREOLE,BREOLE,Rue de la Réole,44.82182900,-0.56935000,0,
BRVEGLI,BRVEGLI,Rue de la Vieille Eglise,44.94609500,-0.59550300,0,
BRULACA,BRULACA,Rue de Lacanau,44.84801400,-0.61694100,0,
BSCOLYO,BSCOLYO,Rue de Lyon,44.82359200,-0.61851500,0,
BRMACAU,BRMACAU,Rue de Macau,44.95424300,-0.60675200,0,
BRPARIS,BRPARIS,Rue de Paris,44.82357000,-0.61962200,0,
BECO36,BECO36,Rue des Ecoles,44.88035100,-0.59158700,0,
BECUS,BECUS,Rue des Ecus,44.87017500,-0.59786900,0,
BRMANO,BRMANO,Rue du Manoir,44.88656800,-0.51974200,0,
BRMEDOC,BRMEDOC,Rue du Médoc,44.87735800,-0.68104800,0,
BREDUI,BREDUI,Rue du Réduit,44.88342400,-0.59757100,0,
BRSTAN,BRSTAN,Rue du Stand,44.81960300,-0.61246500,0,
BRICHE,BRICHE,Rue Richelieu,44.84589200,-0.61749700,0,
BRICHE2,BRICHE2,Rue Richelieu,44.84589500,-0.61821100,0,
BRUSSE,BRUSSE,Russel,44.82866400,-0.51847400,0,
BREBED,BREBED,Rébédech,44.83293100,-0.52303500,0,
BPREPUB,BPREPUB,République,44.89517400,-0.71443900,0,
BREPL16,BREPL16,République,44.83495000,-0.57943500,0,
BREPU58,BREPU58,République,44.90884300,-0.63141700,0,
BREPUB,BREPUB,République,44.83435300,-0.57979100,0,
BTREPUB,BTREPUB,République,44.83502200,-0.57929600,0,
BEVA83,BEVA83,Réservoir Lavardens,44.81853900,-0.60238000,0,
BGALI41,BGALI41,Réservoir Lavardens,44.81846800,-0.60202100,0,
BRESLAV,BRESLAV,Réservoir Lavardens,44.81916600,-0.60235700,0,
BRBEAU,BRBEAU,Résidence Beausite,44.83012600,-0.64809800,0,
BRCRESP,BRCRESP,Résidence Crespy,44.80570600,-0.58650500,0,
BRCHAT,BRCHAT,Résidence Le Château,44.77979000,-0.57313400,0,
BMEIGNA,BMEIGNA,Résidence Meignan,44.90328300,-0.50930200,0,
BRDOMA,BRDOMA,Résidences du Domaine,44.84966500,-0.62338200,0,
BSABARG,BSABARG,Sabarèges,44.92876500,-0.50648800,0,
BSCOSAC,BSCOSAC,Sabaton,44.90483900,-0.68658100,0,
BSCOSAB,BSCOSAB,Sablons,44.86248900,-0.72843400,0,
BSCARNO,BSCARNO,Sadi Carnot,44.86384700,-0.59037900,0,
BSAIGE,BSAIGE,Saige,44.79412600,-0.62923000,0,
TSAIGE,TSAIGE,Saige,44.79398700,-0.62853800,0,
BSBAUGA,BSBAUGA,Saint Augustin,44.82875700,-0.61060900,0,
BSBAUGR,BSBAUGR,Saint Augustin,44.82888300,-0.61006000,0,
BSBBRU,BSBBRU,Saint Bruno,44.83742600,-0.58929100,0,
BSDENIS,BSDENIS,Saint Denis,44.95403700,-0.49686900,0,
BSTMICH,BSTMICH,Saint Michel,44.83442700,-0.56295000,0,
TSMICH,TSMICH,Saint Michel,44.83447600,-0.56338400,0,
BSSAENS,BSSAENS,Saint Saëns,44.85358200,-0.63452600,0,
BSTVIPA,BSTVIPA,Saint Vincent de Paul,44.95399600,-0.46813700,0,
BALBE,BALBE,Saint-Albe,44.77047300,-0.62826000,0,
BSAUBIN,BSAUBIN,Saint-Aubin Cimetière,44.91280700,-0.73283900,0,
BTVILLE,BTVILLE,Saint-Aubin Villepreux,44.91281700,-0.73778700,0,
BSAUGUS,BSAUGUS,Saint-Augustin,44.83213000,-0.60959100,0,
TAUGUS,TAUGUS,Saint-Augustin,44.82880100,-0.61024500,0,
BBRUN10,BBRUN10,Saint-Bruno - Hôtel de Région,44.83776900,-0.58935500,0,
BGENDAR,BGENDAR,Saint-Exupéry,45.01150800,-0.53924900,0,
BGUYNE,BGUYNE,Saint-Exupéry,44.86396600,-0.66066500,0,
BZAEXUP,BZAEXUP,Saint-Exupéry,44.86397400,-0.66067800,0,
BSHUBE,BSHUBE,Saint-Hubert,44.79179100,-0.67220800,0,
BRPQUE,BRPQUE,Saint-Louis,44.86402000,-0.56740200,0,
BSTLOUI,BSTLOUI,Saint-Louis,44.86267400,-0.56708200,0,
BNICOLA,BNICOLA,Saint-Nicolas,44.82707700,-0.57247000,0,
TNICOL,TNICOL,Saint-Nicolas,44.82897500,-0.57399600,0,
BSPAUL,BSPAUL,Saint-Paulin,44.80546500,-0.55902500,0,
BSROMAI,BSROMAI,Saint-Romain,44.84921400,-0.52777500,0,
BCDEAU,BCDEAU,Saint-Seurin,44.84140100,-0.58423700,0,
BSEURI,BSEURI,Saint-Seurin,44.84253900,-0.58544100,0,
BSTEV,BSTEV,Saint-Sever,44.93689700,-0.49360400,0,
BSTSEVE,BSTSEVE,Saint-Sever,44.93663100,-0.49309300,0,
BCATHE,BCATHE,Sainte Catherine,44.83496400,-0.57202800,0,
TCATHE,TCATHE,Sainte Catherine,44.83762200,-0.57330500,0,
TCROIX,TCROIX,Sainte Croix,44.83184100,-0.55943000,0,
TGERMA,TGERMA,Sainte Germaine,44.87154200,-0.61444600,0,
BSBERNA,BSBERNA,Sainte-Bernadette,44.82309200,-0.62445400,0,
BRMEDOK,BRMEDOK,Sainte-Germaine,44.87047800,-0.61363000,0,
BSALAU1,BSALAU1,Salaunes,44.93244900,-0.76512900,0,
BSCOSAL,BSCOSAL,Salaunes,44.93249500,-0.76509400,0,
BSALEN,BSALEN,Salengro,44.80714600,-0.56001700,0,
BSALI2,BSALI2,Salinières,44.83587600,-0.56749400,0,
BSALIN,BSALIN,Salinières,44.83595600,-0.56696800,0,
BSAPINE,BSAPINE,Sapinettes,44.84361500,-0.78667600,0,
BSARCIG,BSARCIG,Sarcignan,44.77833400,-0.57314900,0,
BSARGET,BSARGET,Sarget,44.80856900,-0.60867900,0,
BSATIE,BSATIE,Satie,44.84193900,-0.50922300,0,
BSATIE2,BSATIE2,Satie,44.84497400,-0.62860900,0,
BSAUT82,BSAUT82,Sauternes,44.84123700,-0.79732300,0,
BSAUTER,BSAUTER,Sauternes,44.85631100,-0.48872800,0,
BSAUVIN,BSAUVIN,Sauvin,44.94478800,-0.48862000,0,
BSCHW02,BSCHW02,Schweitzer,44.77396100,-0.53232600,0,
BSEGO1,BSEGO1,Segonnes,44.95118900,-0.76723900,0,
BSEGUI,BSEGUI,Seguineau,44.83501700,-0.60989700,0,
BMBRIE,BMBRIE,Seiglière,44.82576200,-0.54775500,0,
BSEIGLI,BSEIGLI,Seiglière,44.82629600,-0.54880800,0,
BSEBAT,BSEBAT,Sembat,44.81577500,-0.60908500,0,
BSEMBA,BSEMBA,Sembat,44.83334900,-0.54962100,0,
BSERPE,BSERPE,Serpent,44.79164200,-0.63312600,0,
BSCOSER,BSCOSER,Serpentine,44.81863300,-0.69440200,0,
BSCOSED,BSCOSED,Serpolet,44.75885200,-0.62976200,0,
BSTMUNI,BSTMUNI,Service Technique Municipal,44.90164400,-0.49685400,0,
BSIEYES,BSIEYES,Sieyès,44.86086100,-0.72376400,0,
BSCOSIG,BSCOSIG,Signoret,44.87144100,-0.69483100,0,
BSBEAUV,BSBEAUV,Simone de Beauvoir,44.86560900,-0.63550700,0,
BSCOBEA,BSCOBEA,Simone de Beauvoir,44.84284900,-0.49452900,0,
BVEIL22,BVEIL22,Simone Veil,44.95500200,-0.60280200,0,
TSVEIL,TSVEIL,Simone Veil,44.87965900,-0.63676700,0,
BQBRIE,BQBRIE,Simone-Veil (Rive Gauche),44.82086900,-0.54188000,0,
BAVTAI3,BAVTAI3,Sirtema,44.88343500,-0.65513200,0,
BSIRTE2,BSIRTE2,Sirtema,44.88304300,-0.65489900,0,
BSOC36,BSOC36,Socrate,44.80849200,-0.66241800,0,
BSOCR52,BSOCR52,Socrate,44.88204500,-0.67868700,0,
BSOCRA,BSOCRA,Socrate,44.80912500,-0.66248500,0,
BSOLAR,BSOLAR,Solarium,44.78184000,-0.62771600,0,
BSOMMB,BSOMMB,Somme,44.90627000,-0.51716100,0,
BSOORS,BSOORS,Soors,44.77231700,-0.56437100,0,
BSOUBI,BSOUBI,Soubiras,44.86325600,-0.61842400,0,
BTSOUGE,BTSOUGE,Souge,44.85566900,-0.78448600,0,
BSOURD,BSOURD,Sourdis,44.88410200,-0.52121600,0,
BSOUSA,BSOUSA,Sousa Mendès,44.86497200,-0.57143500,0,
BSCOFAR,BSCOFAR,Square Farge,44.81403000,-0.54882400,0,
BSTALBE,BSTALBE,St Albe,44.77104900,-0.62732300,0,
BHREGIO,BHREGIO,St Bruno - Hôtel de Région,44.83851500,-0.58989300,0,
TBRUNO,TBRUNO,St Bruno - Hôtel de Région,44.83745000,-0.58924800,0,
BTMARTI,BTMARTI,St Emilion,44.84471000,-0.79525200,0,
BFORDSU,BFORDSU,St Exupéry,44.91103000,-0.60758700,0,
